epoch,auc,utility
25,0.9720135631680082,0.14903626943005177
50,0.9868773003058673,0.1339481865284973
75,0.9802095602475761,0.08934715025906736
100,0.9862729327924545,0.16956476683937818
125,0.9859126410717467,0.12295854922279781
150,0.9795004157965441,0.1875336787564767
175,0.9876188121931883,0.13837823834196872
200,0.974454016220447,0.0671347150259067
225,0.9892918765107552,0.17261658031088067
250,0.9871568424995969,0.10446632124352323
