name,utility,auc,f1
LGSTM_BestUtil_0,0.14962694300518123,0.9874171845488425,0.46051861961395985
LGSTM_BestUtil_1,0.13623316062176158,0.9874608291222161,0.42061114439784303
RNN_BestUtil_144,0.08377202072538859,0.8232791486910355,0.43857965451055664
CNN_BestUtil_1462,0.0715854922279792,0.7929221003713187,0.27970897332255457
CNN_BestUtil_386,0.0622331606217616,0.989451189866546,0.2724810400866739
RNN_BestAUC_3,0.05689119170984457,0.9930921914602415,0.41422489356373654
CNN_BestAUC_658,0.02096891191709845,0.9892759012169061,0.11555842479018721
RNN_BestUtil_82,0.01347668393782383,0.7780052271686735,0.20241691842900303
RNN_BestAUC_65,0.0,0.920358236190598,0.0
CNN_BestAUC_1138,-14.996829015544732,0.9388841722752683,0.005492977332777082
